,Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Antiretroviral therapy coverage (% of people living with HIV),"Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,"Patent applications, nonresidents","Patent applications, residents",People practicing open defecation (% of population)
0,YR2000,AFG,20779953.0,2.975052846,652860.0,,,,,,,55.841,7.485,153.951,5.3,12.4,129.4,,27.0,,,,0.1,13500.0,,,0.03723478104,,,,,,,,,,,,,,0.0,,,100.0,214716148.7,,,,170000.0,6.545250608,,,,0.0,32.47869472,333.875,287.786,90127.0,15000.0,62440.0,,,26.01965826
1,YR2000,ALB,3089027.0,-0.6373568339,28750.0,,3409087343.0,1100.0,12293711152.0,3980.0,,73.955,2.157,19.0372,57.5,99.1,25.9,17.0,95.0,96.58269,71.07808,0.97621,,7692.999878,3.772429872,580.4947642000002,0.9781746809,1449.647413,3480355189.0,6.9500361339999985,5.643782073,24.51536066,19.39564563,20.11528595,43.33878845,30.79625919,,,,1.246360242,0.952019386,,38.84660981,100.0,1122377829.0,0.8369196382999999,,,143000000.0,102.8964784,1126.683318,-143000000.0,0.05001813635,,41.13233369,124.34,65.051,1205.0,12.0,590.0,,,0.8646791325
2,YR2000,DZA,31042235.0,1.358407806,2381740.0,,49493095503.0,1590.0,240847042804.0,7760.0,,70.64,2.514,11.7556,64.0,92.0,39.7,5.4,80.0,80.16639,65.11698,0.96421,0.1,15790.0,,869.6098396,2.830379965,683.2948723,54790245601.0,3.819678496,22.65476747,8.395752015,54.36625323,42.06971832,20.78862576,23.56391053,,,0.5207058372,3.433385635,0.277041908,,56.94809296,100.0,25467370754.0,8.591159933,,,280100000.0,6.441546493,1765.022577,,0.3391631891,8.0,13.51781531,158.714,122.258,20630.0,980.0,12949.0,127.0,32.0,6.382788159
3,YR2000,ASM,57821.0,1.337137112,200.0,,,,,,,,,,,,,,,,,,,180.4999924,,,,,,,,,,,,,,,,,3.445115097,,,100.0,,,,,,,,,,,,,,,,,,,
4,YR2000,AND,65390.0,1.572165551,470.0,,,,,,,,,,,,6.4,,97.0,,,,,160.0,,,8.019284294,,1434429703.0,3.528361297,29.2262783,0.4874978323,14.09311915,,,,,,,,36.00397614,,,100.0,,,,,,,21936.5301,,,,,,,4.0,,2.0,,,0.0
5,YR2000,AGO,16395473.0,3.277203555,1246700.0,,5902876836.0,360.0,41432320257.0,2530.0,3.2,46.522,6.6389999999999985,196.6992,,,205.7,,32.0,,12.26628,,1.0,597280.0,56.21237028,438.5500193,0.5819614963,75.26467824,9129594819.0,3.054624234,418.0189915,5.664689564,72.12295494,89.68583119,62.86127827,30.49321898,52.78838514,,,6.392603154,0.157397106,,120.0600927,100.0,9763465564.0,23.10316788,,266290000.0,878620000.0,18.43252708,556.8363181,-878620000.0,324.9968716,0.0,48.46704458,408.217,334.646,93459.0,6600.0,39968.0,,,42.86651431
6,YR2000,ATG,76016.0,1.781187179,440.0,,771086072.2,10140.0,1190196203.0,15660.0,,73.94,2.2,61.9748,,99.9,15.8,,95.0,,79.66178000000002,,,100.0,,,4.534545359,,830158777.8,6.691742382,1.55207877,1.5895397430000002,13.82711393,56.23766663,60.04412275,,,,,,28.94127552,,55.2906278,100.0,,,,1558148.148,43115925.93,129.9726373,10920.84269,-43115925.93,0.7717797969,,,180.197,132.267,20.0,1.0,14.0,,,1.3454454969999998
7,YR2000,ARG,36870787.0,1.100583725,2780400.0,,275544288843.0,7470.0,427705048151.0,11600.0,3.2,73.57600000000002,2.542,66.3552,,99.1,19.6,,91.0,97.34647,95.93661,1.01587,0.3,318600.0,,1669.526745,3.854991948,2088.80814,284203750000.0,-0.7889989391,1.037287101,4.679910944,25.99083601,10.98637523,11.63606955,17.53348744,14.17761025,,16.12904122,1.148822677,17.59645109,,18.11904312,100.0,150062928187.0,8.982162146,,267700000.0,10418314339.0,1.63733961,7708.100995999999,-9517286140.0,,19.0,42.28973538,181.355,97.296,12561.0,480.0,7894.0,5574.0,1062.0,
8,YR2000,ARM,3069591.0,-0.6310207989,29740.0,,2025189581.0,660.0,7341753228.0,2390.0,,71.40899999999998,1.648,39.3926,60.5,96.8,30.8,2.6,92.0,,92.15199,1.07114,0.1,3330.0,,656.308935,1.128917501,1297.567005,1911563665.0,5.900000001,-1.373675996,,,23.37525912,50.54326015,18.23232978,,,,3.560024873,0.569652439,,61.52031561,100.0,1018418174.0,2.46187856,,3520000.0,104188500.0,70.33184551,622.7421391,-104188500.0,-0.7908837689,0.0,46.56126168,200.185,97.943,1079.0,17.0,636.0,8.0,119.0,0.06250573021000001
9,YR2000,ABW,90853.0,2.055026783,180.0,,1817009854.0,20000.0,2970472656.0,32700.0,,73.78699999999998,1.872,43.593,,,,,,97.14286,96.51617,0.99266,,4.199999869,,,26.19487524,,1873452514.0,7.616589704,1.048270038,0.4100218281,15.82535158,74.40032444,70.67285327,25.49590276,,,,,16.51018679,,272.496034,100.0,,,,43743016.76,-127932960.9,,20620.700630000007,130558659.2,4.044021312,,,138.363,86.589,,,,,,1.049868766
10,YR2000,AUS,19153000.0,1.192272323,7741220.0,,404481658094.0,21120.0,489711413128.0,25570.0,,79.23414634,1.756,17.9326,,99.3,6.2,,91.0,,,,0.1,1288410.0,,5644.0649509999985,17.20060983,10193.91218,415222633926.0,3.933102332,2.579736233,3.119068182,24.63840014,19.43465944,21.59435174,26.3080439,25.94277625,,89.78179886,1.829841913,45.08349055,,32.60877152,100.0,,,,868990623.8,14892978180.0,,21679.24784,-10797958705.0,4.457435148,49.0,43.63771896,97.967,56.11,1262.0,17.0,870.0,20073.0,1928.0,0.0
11,YR2000,AUT,8011566.0,0.2404666524,83879.00391,,214597273270.0,26790.0,233330541766.0,29120.0,,78.12682927,1.36,13.9232,,98.3,5.5,,75.0,,98.69606,0.96969,,38380.0,,3570.498826,7.774259739,7076.269483,196799778883.0,3.375721973,1.364041084,1.647300213,28.28480203,43.34627395,42.01422167,25.92697094,43.77722062,,15.21100286,0.9803185801,75.80605745,,71.1911369,100.0,,,,1298060059.0,8525406379.0,,24564.45829,,2.344864555,,43.51296944,126.568,63.19600000000001,370.0,5.0,248.0,340.0,1961.0,0.0
12,YR2000,AZE,8048600.0,0.8215199637,86600.0,,4922349091.0,610.0,27890741774.0,3470.0,,66.763,2.0,36.5066,55.1,84.1,75.0,14.0,67.0,89.51351,,,,8717.999878,,1403.433268,3.666271029,2040.47909,5272617196.0,11.09999925,12.4927737,16.08486467,42.53830991,40.17083148,38.3777368,20.67357623,,,,2.267862063,5.17559282,,55.32356876,100.0,1585215993.0,2.7684356830000003,,100962000.0,129937000.0,17.47011903,655.0974326,-129177000.0,1.805003037,,46.65523318,220.92,118.133,8673.0,66.0,4730.0,,,0.1425056499
13,YR2000,BHS,298051.0,1.347398334,13880.0,,7732621290.0,25940.0,7684563693.0,25780.0,,71.914,2.073,51.222,,99.0,15.7,,93.0,,,,2.6,5150.0,,,5.597984909,,8076470000.0,4.149243017,0.9219092341,1.344646857,12.14887197,38.04756286,41.59738103,30.18521706,11.60359662,,,,10.57671338,,32.81136437,100.0,,,,56170000.0,250250000.0,,27097.61081,-250250000.0,1.606329417,1.0,47.94258252,238.648,141.64,69.0,4.0,45.0,,,1.136466193
14,YR2000,BHR,664611.0,4.31530764,710.0,,7269677350.0,10940.0,23181887375.0,34880.0,,74.44,2.795,17.583,,97.7,12.5,,98.0,98.78815,97.56947,1.02969,,3.700000048,,11988.77539,28.05103737,20014.71537,9062906915.0,5.299994794,29.9914839,,,79.18059732,56.62841845,16.57502392,31.2707896,,73.09299392,3.961670969,30.954498200000003,,119.4649807,100.0,,,,1012681830.0,363562321.9,90.92536837,13636.40824,-354009613.6,-0.7048529531000001,,21.26744978,98.726,78.35300000000002,158.0,4.0,71.0,,,0.0
15,YR2000,BGD,127657854.0,1.95238739,148460.0,48.9,55712709024.0,440.0,177501589108.0,1390.0,8.6,65.447,3.169,112.2538,54.3,12.1,87.3,42.3,74.0,,49.76399,,0.1,14680.0,,143.0538148,0.2183116755,104.6077431,53369787319.0,5.293294718,3.44665935,22.71814808,22.27938268,12.34420123,16.97751313,23.80856257,,,4.107529953,1.3571191809999998,0.218552945,,28.615441,100.0,15602839578.0,1.403444751,,4378216.685,280384629.7,9.199042309,418.0689683,-280384629.7,2.208256209,0.0,22.45936423,175.701,164.565,222249.0,15000.0,148651.0,248.0,70.0,17.68376596
16,YR2000,BRB,271515.0,0.3926450615,430.0,,2987718436.0,11000.0,3224061100.0,11870.0,,77.16199999999998,1.775,51.1212,,98.0,15.2,,94.0,98.39069,103.62408,1.00695,0.7,63.00000191,,,4.3758466380000005,,3121500000.0,4.453059514,-1.342850566,1.955790485,15.00240269,42.37706231,46.40237066,17.74787762,,,54.67019061,,10.48450362,,45.74723691,100.0,,,,19150000.0,19400000.0,0.8839290647,11496.6024,-18350000.0,2.435813035,0.0,48.36901854,155.61,99.216,52.0,2.0,36.0,,,0.7022727273
17,YR2000,BLR,9979610.0,-0.4711313346,207600.0,41.9,13772556467.0,1380.0,59929813931.0,6010.0,7.9,68.91219512,1.317,27.783,,99.9,12.8,,98.0,102.32492,,,0.1,82730.0,15.64240071,2462.411056,5.3897452910000005,2996.309475,12736856828.0,5.80000344,185.2907607,12.09682717,33.47894633,69.21082134,72.39834461,25.39867306,28.68127176,,,1.346984151,0.499947729,,125.399855,100.0,2620196263.0,3.070704,,9600000.0,118800000.0,,1276.288034,-118600000.0,168.6202359,0.0,48.78338495,354.094,125.338,881.0,19.0,534.0,204.0,994.0,0.0
18,YR2000,BEL,10251250.0,0.2425179562,30530.0,,266898052771.0,26040.0,294129706030.0,28690.0,,77.72195122,1.67,10.6408,,,5.8,,82.0,,144.87628,1.05728,,6672.999878000001,,5669.358176,11.2296677,8247.677113,237904919845.0,3.633635802,2.0235918180000003,1.167948509,24.82193616,71.85758766,69.22148384,23.78182339,42.11349149,,76.70313002,1.341210276,54.74598263,,153.7933727,100.0,,,,3587770752.0,,,23207.40591,,2.544517762,,42.98506136,130.497,68.703,544.0,9.0,337.0,243.0,577.0,0.0
19,YR2000,BLZ,247315.0,3.42494863,22970.0,,779983034.6,3150.0,1281490861.0,5180.0,,68.847,3.6010000000000004,97.2162,,100.0,23.6,,96.0,100.05013,67.98631,0.98493,1.3,14593.00049,9.396151875,,1.6013424180000002,,832072450.0,13.01957737,0.4759445929,14.64928925,18.53630053,52.97222616,73.67303773,31.70716685,20.35820318,,,0.8552520882,6.797808462999999,,86.53092648,100.0,629903800.8,9.907697356,,6435358.715,29564651.92,65.86741605,3364.423711,-23340762.43,,0.0,32.82089669,240.876,146.56799999999996,146.0,7.0,88.0,,,4.4682999180000005
20,YR2000,BEN,6865951.0,2.9839947760000003,114760.0,,2691398095.0,390.0,9061394081.0,1320.0,,55.39100000000001,5.9620000000000015,118.5246,,,139.3,,70.0,37.80433,21.83777000000001,0.6333300000000001,1.3,50610.0,,288.7684459,0.2328609686,58.11285283,2569186643.0,5.8599921010000005,4.338065007,22.88978789,28.21998688,21.14038924,34.85130112,23.56767986,,,,0.5642357315,0.8079871240000001,,39.11743831,100.0,1399684852.0,2.94497133,,8879509.37,-12763065.75,35.64983205,374.1923942,-56153556.57,4.165404423,0.0,45.87141427,314.525,257.273,24588.0,1500.0,11621.0,,,67.60516455
21,YR2000,BMU,61833.0,0.8941829159,54.00000095,,,,,,,77.88536585,1.74,,,,,,,,,,,10.0,,,8.36199117,,3480219000.0,9.317155577000001,-4.236355416,0.668952155,11.07301006,,,,,,61.66278616,,19.99630837,,22.15377825,100.0,,,,,66900000.0,,56284.16865,,,,,,,,,,,,0.0
22,YR2000,BTN,591021.0,2.248358465,40076.99951,,438794480.5,740.0,1612902562.0,2730.0,,60.88399999999999,3.515,77.1602,30.7,23.7,77.7,,78.0,51.06835,30.02343,0.85716,0.2,26060.0,,,0.6700878649,,439158233.2,6.93302424,2.286209091,26.80119971,35.21763502,29.37722626,48.28761896,48.65914233,22.87268129,,,,0.0,,63.30292341,100.0,211571982.8,1.604122347,,,,90.3351996,743.0501339,,4.01099373,,41.9533026,288.931,294.8520000000001,922.0,68.0,510.0,,,10.11785489
23,YR2000,BOL,8418264.0,1.93343126,1098580.0,,8287259662.0,980.0,28494081306.0,3380.0,1.1,62.452,4.051,86.5276,53.4,67.3,75.3,,84.0,,72.90833,0.96531,0.5,600910.0,,582.6752404,1.314642306,415.8814691,8397912509.0,2.507807553,5.19540791,12.96581268,25.73902396,18.27474597,27.32302914,18.14347892,17.80198046,,,2.062971201,6.920904357,,36.43762657,100.0,5892765188.0,7.849025261,,37000000.0,736350000.0,57.73518151,997.5824599,-733550000.0,4.608229989,0.0,42.16669934,272.111,207.982,14060.0,850.0,7330.0,,,33.04305279
24,YR2000,BIH,3751176.0,0.2087389827,51210.0,,5571948186.0,1490.0,18888060741.0,5040.0,,74.403,1.497,21.4168,47.5,98.9,9.8,4.2,80.0,,,,0.1,21850.0,,1158.63132,3.67562599,2030.296632,5505887894.0,5.5000004360000005,28.78778426,8.903610232,19.36975789,28.69084267,75.50159552,20.55163829,,,,,2.489512622,,75.84607751,100.0,2791207815.0,5.241605165,,2350912.047,146075610.9,196.7196421,1467.776477,-146075610.9,,0.0,40.29809608,161.084,81.384,364.0,7.0,282.0,242.0,31.0,0.6610413588
25,YR2000,BWA,1643334.0,2.032896436,581730.0,,5217033318.0,3170.0,13163199317.0,8010.0,,50.629,3.304,59.1762,44.4,98.5,86.9,10.7,91.0,96.82113,80.41093000000002,1.01819,26.3,125350.0,44.14193091,1092.485764,2.300613874,1155.577625,5788329609.0,1.987695854,14.17096689,2.794699789,46.30065457,51.83181007,40.09291962,29.55108039,,,16.88932846,3.1912429510000004,13.52068417,,82.16532784,100.0,452434627.4,1.263712341,,133941061.2,57171313.17,18.63285248,3522.3086780000012,-54918578.97,8.601485149,0.0,44.36165881,615.861,507.203,2367.0,130.0,1254.0,,,21.71463493
26,YR2000,BRA,174790340.0,1.424167434,8515770.0,,687360261722.0,3930.0,1540368765613.0,8810.0,,70.116,2.3,82.21,,98.6,34.8,,99.0,,,,0.4,5212740.0,,1072.379538,1.876441307,1897.353137,655420645477.0,4.387949443,5.6060651460000015,4.750459976,23.00661863,10.188048,12.45171335,18.90311927,19.55466415,,34.50491094,1.730726147,13.26627719,,17.35709743,100.0,242511685522.0,9.203848314,,338325000.0,32994718700.0,1.379195212,3749.75325,-30497652700.0,7.044141059,23.0,39.98799979,247.531,125.46,106963.0,2400.0,64161.0,14104.0,3179.0,8.936555292000001
