Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2016,AFG,35383128.0,2.7783174089999996,652860.0,20007171971.0,570.0,67454810886.0,1910.0,63.76300000000001,4.8,75.325,67.5,64.0,13500.0,,19362642267.0,2.260314205,5.102712888,21.08108621,21.82322278,5.933360842000001,41.72569458,17.80878963,61.05463771,36.823486700000004,163.6084194,182925807.9,93591315.3,547.2281102000002,-108367250.9,4.383891955,35.29656896,244.519,202.465,60673.0,8100.0,46963.0,13.450675599999999
YR2016,ALB,2876101.0,-0.1598804121,28750.0,12424029356.0,4320.0,34688437632.0,12060.0,78.194,1.659,19.8596,9.3,96.0,7705.39978,,11861352705.0,3.349999688,-0.6663229454,19.84997817,21.14199931,28.97789918,45.83196365,25.22382662,116.7444442,55.90424773,93.41943588,147156757.4,1044389555.0,4124.108543,-1037328978.0,1.275125281,41.75172925,96.833,50.538999999999994,289.0,5.0,218.0,0.0
YR2016,DZA,40551404.0,2.0513545840000003,2381740.0,177546801119.0,4380.0,604332274132.0,14900.0,76.298,3.052,10.368,24.5,94.0,19635.99976,,160129866570.0,3.3,1.511245825,12.21279137,34.74020105,20.86001063,35.0322329,50.80653136,116.00420770000001,48.15778696,155.4023532,76633496.32,1638263954.0,3948.811897,-1591723072.0,6.397694802999999,18.04019498,105.595,83.113,21371.0,1200.0,15550.0,0.7853684731999999
YR2016,ASM,55741.0,-0.1272937699,200.0,,,,,,,,,,175.0,,653000000.0,-2.619414484,1.4470307740000001,,,65.39050536,97.09035222,,,162.78713630000001,172.98921380000004,,,11714.89568,,,,,,,,,0.7038871126
YR2016,AND,77297.0,-0.9194697379000001,470.0,,,,,,,,3.1,97.0,160.0,,2877311947.0,1.8891243869999998,0.6998973624,0.4921013883,9.844718945,,,,98.49282637,,,,,37224.10892,,,,,,2.0,,1.0,0.0
YR2016,AGO,28842484.0,3.37827278,1246700.0,108726746877.0,3770.0,184750703827.0,6410.0,59.925,5.686,153.9008,84.0,45.0,577311.9922,,101123851090.0,-2.58009724,21.77429951,9.831168609,42.64356678,28.12448456,25.24567072,27.21470844,45.07629005,40.17845401,109.7466601,1176110314.0,-179517618.9,3506.072885,452522618.9,32.37773407,49.53723477,276.573,203.1,65803.0,3000.0,36136.0,21.22659367
YR2016,ATG,94527.0,1.021843835,440.0,1311482244.0,13870.0,2133947697.0,22580.0,76.617,2.003,43.6256,7.0,88.0,98.00000191,,1464630213.0,5.589740804,2.052718868,1.543827909,17.48544113,41.57287507,46.88566851,,190.4217843,36.05005517,62.39204699,54742927.5,80641321.83,15494.30547,-67291805.41,-0.4894377962,,151.416,105.69,8.0,1.0,6.0,0.2641289131
YR2016,ARG,43590368.0,1.057181578,2780400.0,532589675301.0,12220.0,858301788492.0,19690.0,76.221,2.2880000000000003,62.93899999999999,10.9,90.0,268151.9922,,557531376218.0,-2.080327844,41.11937999,6.26456582,22.05410721,12.52709517,13.56679268,17.66322786,146.45382759999995,20.40459154,155.1966186,769242058.0,3260164342.0,12790.242470000001,-1473633407.0,,41.72607534,150.47299999999996,81.211,7350.0,300.0,4862.0,
YR2016,ARM,2936146.0,0.3614314393,29740.0,11024338644.0,3750.0,26413124248.0,9000.0,74.64,1.744,22.1604,13.7,97.0,3322.000122,,10546135160.0,0.1999999998,0.2685750765,16.39047353,25.57713304,33.14800495,42.76987508,18.01550867,116.97546750000001,48.0270727,123.56382350000001,358015507.1,333733314.1,3591.829276,-263213931.7,-1.4036075590000001,45.9828195,173.90599999999995,74.168,523.0,11.0,305.0,0.0
YR2016,ABW,104872.0,0.5076177295000001,180.0,2469661606.0,23550.0,3820427670.0,36430.0,75.868,1.8719999999999999,23.8416,,,4.199999869,,2646927374.0,-0.2112251056,-1.452282496,,,69.83959477,74.63064584,22.01350781,,56.97727163,93.88902857,71743528.49,20982174.3,25239.60041,-20488564.25,-0.8867583523999999,,113.686,70.479,,,,1.473163002
YR2016,AUS,24190907.0,1.561940498,7741220.0,1310842357218.0,54190.0,1117959538341.0,46210.0,82.44878049,1.7519999999999998,11.8324,3.8,95.0,1250590.0,,1210028388412.0,2.8467549510000003,-0.49666518229999995,2.387301732,22.32760265,19.23322407,21.50562732,25.41891325,109.43129520000001,32.12164307,147.9984555,6196272963.0,39225714067.0,50019.967769999996,-45159927515.0,1.276990945,46.15283037,,,1005.0,21.0,732.0,0.0
YR2016,AUT,8736668.0,1.0813962990000001,83879.00391,403001405222.0,46130.0,450782402035.0,51600.0,81.64146341,1.53,7.5648,3.6,95.0,38708.00049,,394052818288.0,2.039574983,1.411315951,1.112720867,25.201835100000004,52.34258687,48.65943821,24.325928100000002,126.6614696,78.61560319,106.14942549999999,5050127054.0,-28872607731.0,45103.32981,1968126200.0,0.8915923673,46.7113407,80.37,43.79600000000001,254.0,4.0,189.0,0.0
YR2016,AZE,9757812.0,1.11785721,86600.0,46471284798.0,4760.0,158856277839.0,16280.0,72.493,1.9,54.5184,24.5,98.0,11656.19995,,37867518957.0,-3.064200035,14.62883959,5.605111775,47.5579725,46.42764939,43.64966934,25.68150374,104.65237259999999,57.0330473,99.81925554,740236000.0,4499666000.0,3880.7387310000004,-1926065000.0,12.44949552,48.78082209,155.549,89.45200000000001,3830.0,46.0,2245.0,0.1564943404
YR2016,BHS,377931.0,0.9905191356999999,13880.0,10897477620.0,28830.0,11355346618.0,30050.0,73.329,1.771,30.5602,10.9,89.0,5150.0,,11838800000.0,-1.689549856,2.119688154,0.8801567726,12.32557354,35.80852789,37.67780518,24.72294489,95.30865504,26.29489475,78.40349397,193848517.9,73723568.41,31325.29483000001,-73723568.41,-0.34637693,47.11621685,196.516,117.541,47.0,4.0,31.0,0.2231957401
YR2016,BHR,1425791.0,3.8565824610000004,778.0000305,30487127319.0,21380.0,62902453486.0,44120.0,76.899,2.033,13.493,7.4,99.0,6.100000143,,32250132979.0,3.470923702,0.1363941269,0.3320124855,39.37333262,73.74289237,65.38897662,25.97787408,210.04922180000003,68.07413791,116.91975459999999,2391489362.0,243351063.8,22619.11667,1123404255.0,2.8005946980000003,21.41734136,73.48100000000002,58.05,137.0,3.0,68.0,0.0
YR2016,BGD,157970840.0,1.091300482,147630.0,216290527551.0,1370.0,617619591394.0,3910.0,71.785,2.09,84.0906,33.9,97.0,14264.000240000001,,221415188000.0,7.113489474,6.72784119,14.04554622,27.346117600000003,16.64971496,21.30458139,29.65256533,86.07690632,36.00746666,68.9766785,41213540.69,2332724781.0,1401.620628,-2292208318.0,5.513525727,28.84121267,147.869,106.65299999999999,83163.0,5500.0,57787.0,0.27209977399999996
YR2016,BRB,285796.0,0.16528929380000001,430.0,4335056184.0,15170.0,4900393377.0,17150.0,78.888,1.6130000000000002,35.3818,12.9,92.0,63.00000191,,4529050000.0,2.007168459,-3.145990774,1.379980349,12.66380367,36.40608958,46.21388591,17.11727625,116.2395555,47.22844747,124.37709029999999,,229642052.0,15847.142719999998,,1.281928131,49.40795863,122.52,73.173,37.0,1.0,26.0,0.8295454545000001
YR2016,BLR,9501534.0,0.1255111098,207600.0,53436206405.0,5620.0,164070342890.0,17270.0,73.82682927,1.733,15.8802,3.8,98.0,86534.00391,,47722657821.0,-2.526446436,8.34191705,6.895280624,30.95840925,62.50934712,62.69997578,26.4775827,121.112623,107.175506,92.99741335,123800000.0,1246900000.0,5022.626643,-1124000000.0,11.83658077,49.683636799999995,234.903,82.559,330.0,3.0,175.0,0.0
YR2016,BEL,11331422.0,0.5063000025,30530.0,481900798567.0,42530.0,535606213334.0,47270.0,81.43902439,1.68,4.9266,3.9,96.0,6838.400269,,469677213719.0,1.4525522240000002,1.805558561,0.6349906160000001,19.52799863,82.73271586,81.40442157,24.08119835,110.5368746,165.5594475,115.7775166,4514158284.0,44455928909.0,41449.09736,-30148298063.0,1.973852647,45.92623522,,,391.0,7.0,270.0,0.0
